Player name,Appearances,Goals Overview,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed clearance
Ollie Watkins,86,27,32,39,27,0.31,4,17,6,2,0,201,93,46%,11,31,10,"1,749",20.34,13,42,10,1,91,55,56,55,24,57,43
Danny Welbeck,286,56,135,85,56,0.2,17,26,13,0,0,488,197,40%,10,78,25,"4,642",16.23,34,42,13,0,172,48,274,119,170,153,92
Timo Werner,56,10,30,13,10,0.18,1,7,2,0,0,124,48,39%,8,23,9,"1,151",20.55,10,58,3,0,39,38,28,37,10,10,3
Wesley,25,5,7,14,5,0.2,0,5,0,0,0,36,19,53%,1,5,1,373,14.92,1,7,3,0,44,14,15,8,4,23,18
Willian,267,39,151,59,39,0.15,1,34,4,5,5,423,154,36%,16,22,39,"9,136",34.22,56,"1,119",21,1,137,38,263,120,111,59,27
Max Woltman,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Wood,185,53,62,74,53,0.29,18,25,9,4,0,295,139,47%,10,63,7,"2,867",15.5,11,39,5,0,158,167,52,48,10,98,71
Xande Silva,1,0,0,1,0,1,0,0,0,0,0,2,0,2%,0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0
Yago Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrii Yarmolenko,66,8,22,27,8,0.12,0,0,8,0,0,53,23,43%,1,4,2,842,12.76,8,54,8,0,33,17,26,11,9,9,4
Nathan Young-Coombes,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Wilfried Zaha,291,67,94,121,67,0.23,2,54,11,7,0,494,183,37%,14,44,29,"6,488",22.3,46,641,46,2,364,131,382,158,143,40,11
