,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
18,3.86,5.09,70.0,54.0,0.0,70.0,1.7,2.01,0.77,0.15,54.0,0.0,0.0,6.17,0.31,86.0,3.86,5.09,0.46,0.77,0.0,76.0,55.88,91.0,1.96,0.0,0.31,0.0
19,1.74,5.5,74.0,77.0,0.0,74.0,0.94,3.08,0.74,0.27,77.0,0.0,0.07,7.04,0.07,100.0,1.74,5.5,0.27,0.47,0.0,65.0,59.49,90.0,1.63,0.07,0.2,33.0
20,2.07,3.56,48.0,53.0,0.0,48.0,0.58,0.66,0.66,0.0,53.0,0.08,0.59,23.58,5.46,52.0,2.07,3.56,0.17,0.08,0.0,60.0,55.17,78.0,2.02,0.25,0.74,33.0
21,2.68,3.45,70.0,76.0,0.0,70.0,0.77,2.39,1.41,0.28,76.0,0.07,0.06,7.75,0.7,89.0,2.68,3.45,0.07,0.21,0.0,68.0,49.08,87.0,2.08,0.0,0.35,0.0
22,1.15,43.8,85.0,44.0,20.0,44.0,0.98,0.36,0.71,0.09,27.0,0.27,0.52,19.99,2.13,75.0,1.78,2.58,0.09,0.0,0.0,20.0,43.8,85.0,2.81,0.09,0.71,13.0
23,1.18,44.58,81.0,60.0,84.0,60.0,1.52,1.01,0.68,0.34,40.0,0.34,0.58,16.21,2.2,0.0,3.21,1.86,0.17,0.17,0.0,84.0,44.58,81.0,2.08,0.0,0.0,0.0
24,2.38,32.05,79.0,41.0,59.0,41.0,1.54,0.42,1.54,0.28,21.0,0.14,0.36,17.64,0.98,57.0,2.38,1.26,0.0,0.0,0.0,59.0,32.05,79.0,3.52,0.56,0.84,67.0
25,2.18,6.98,70.0,75.0,0.0,70.0,1.09,3.27,0.95,0.36,75.0,0.07,0.07,10.04,0.22,61.0,2.18,6.98,0.58,0.73,0.0,67.0,51.51,83.0,1.29,0.15,0.65,22.0
26,0.62,23.0,0.67,63.0,36.0,41.0,3.43,1.93,1.31,0.12,36.0,0.19,0.1,7.47,0.12,63.0,0.93,1.25,0.0,0.0,0.0,47.0,16.07,76.0,2.08,0.62,2.74,23.0
27,1.01,58.28,80.0,54.0,45.0,54.0,0.59,0.59,1.43,0.08,50.0,0.17,0.66,28.51,3.63,67.0,4.72,4.22,0.0,0.0,0.0,45.0,58.28,80.0,1.68,0.0,0.25,0.0
28,1.74,5.64,65.0,69.0,0.0,65.0,1.25,2.78,0.63,0.0,69.0,0.0,0.02,3.83,0.0,0.0,1.74,5.64,0.14,0.7,0.0,60.0,48.1,91.0,1.04,0.07,0.14,50.0
29,0.12,48.85,93.0,62.0,69.0,62.0,1.47,1.71,0.98,0.0,54.0,0.12,0.04,7.2,0.49,61.0,3.54,5.01,0.37,0.61,0.0,69.0,48.85,93.0,2.21,0.0,0.24,0.0
30,1.61,36.29,75.0,56.0,47.0,56.0,1.69,3.13,1.27,0.25,65.0,0.25,0.25,15.14,1.02,68.0,2.71,5.08,0.08,0.17,0.0,47.0,36.29,75.0,1.49,0.08,0.34,25.0
31,1.05,3.6,82.0,77.0,0.0,82.0,0.58,1.98,0.23,0.12,77.0,0.0,0.03,5.7,0.23,0.0,1.05,3.6,0.23,0.23,0.0,78.0,55.12,94.0,2.46,0.12,0.23,50.0
32,1.54,6.05,57.0,29.0,0.0,57.0,1.32,0.55,0.22,0.0,29.0,0.0,0.0,2.97,0.0,0.0,1.54,6.05,0.11,0.88,0.0,79.0,54.9,90.0,1.56,0.0,0.0,0.0
33,0.49,27.0,0.6,63.0,33.0,45.0,2.44,1.19,1.47,0.07,33.0,0.21,0.28,10.26,0.35,63.0,1.95,2.3,0.0,0.07,0.0,50.0,21.21,77.0,1.8,0.49,2.3,27.0
